"Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector"
2014,West Virginia,55,Private,1588,"541,140","42,293","42,912",7.80%,7.90%
2014,West Virginia,55,Public,441,"146,531","30,454","36,906",20.80%,25.20%
2014,West Virginia,55,Total,2029,"687,671","72,747","79,818",10.60%,11.60%
2015,West Virginia,55,Priv. Construction,127,"32,114","5,975","6,171",18.60%,19.20%
2015,West Virginia,55,Priv. Manufacturing,338,"77,068","15,507","15,798",20.10%,20.50%
2015,West Virginia,55,Private,2279,"535,272","48,777","51,177",9.10%,9.60%
2015,West Virginia,55,Public,574,"128,600","33,853","39,609",26.30%,30.80%
2015,West Virginia,55,Total,2853,"663,872","82,630","90,786",12.40%,13.70%
2016,West Virginia,55,Priv. Construction,130,"29,174","5,261","5,780",18.00%,19.80%
2016,West Virginia,55,Priv. Manufacturing,361,"79,387","12,615","13,058",15.90%,16.40%
2016,West Virginia,55,Private,2426,"529,437","47,191","50,995",8.90%,9.60%
2016,West Virginia,55,Public,658,"138,444","31,504","36,913",22.80%,26.70%
2016,West Virginia,55,Total,3084,"667,880","78,695","87,907",11.80%,13.20%
2017,West Virginia,55,Priv. Construction,147,"32,137","6,995","6,995",21.80%,21.80%
2017,West Virginia,55,Priv. Manufacturing,402,"86,407","11,116","11,688",12.90%,13.50%
2017,West Virginia,55,Private,2577,"554,082","42,402","45,031",7.70%,8.10%
2017,West Virginia,55,Public,623,"129,101","32,753","36,485",25.40%,28.30%
2017,West Virginia,55,Total,3200,"683,183","75,154","81,516",11.00%,11.90%
2018,West Virginia,55,Priv. Construction,152,"33,333","6,339","6,544",19.00%,19.60%
2018,West Virginia,55,Priv. Manufacturing,343,"75,166","11,308","11,522",15.00%,15.30%
2018,West Virginia,55,Private,2548,"570,439","44,055","46,396",7.70%,8.10%
2018,West Virginia,55,Public,527,"113,703","24,410","27,395",21.50%,24.10%
2018,West Virginia,55,Total,3075,"684,142","68,464","73,791",10.00%,10.80%
2019,West Virginia,55,Priv. Construction,149,"35,417","6,322","6,322",17.90%,17.90%
2019,West Virginia,55,Priv. Manufacturing,334,"79,121","11,424","12,351",14.40%,15.60%
2019,West Virginia,55,Private,2427,"580,444","45,179","48,919",7.80%,8.40%
2019,West Virginia,55,Public,534,"124,296","26,355","29,435",21.20%,23.70%
2019,West Virginia,55,Total,2961,"704,741","71,533","78,354",10.20%,11.10%
2020,West Virginia,55,Priv. Construction,125,"33,961","3,446","3,446",10.10%,10.10%
2020,West Virginia,55,Priv. Manufacturing,264,"72,316","11,356","11,597",15.70%,16.00%
2020,West Virginia,55,Private,1964,"540,605","39,630","41,948",7.30%,7.80%
2020,West Virginia,55,Public,474,"126,621","31,332","33,162",24.70%,26.20%
2020,West Virginia,55,Total,2438,"667,226","70,962","75,110",10.60%,11.30%
2021,West Virginia,55,Priv. Construction,103,"29,356","4,172","4,172",14.20%,14.20%
2021,West Virginia,55,Priv. Manufacturing,234,"69,211","6,347","7,251",9.20%,10.50%
2021,West Virginia,55,Private,1847,"551,463","33,499","36,353",6.10%,6.60%
2021,West Virginia,55,Public,500,"142,473","33,053","36,576",23.20%,25.70%
2021,West Virginia,55,Total,2347,"693,936","66,552","72,929",9.60%,10.50%
2022,West Virginia,55,Priv. Construction,125,"38,043","7,285","7,285",19.10%,19.10%
2022,West Virginia,55,Priv. Manufacturing,217,"66,545","7,915","7,915",11.90%,11.90%
2022,West Virginia,55,Private,1828,"553,535","37,114","39,702",6.70%,7.20%
2022,West Virginia,55,Public,463,"133,850","26,453","29,037",19.80%,21.70%
2022,West Virginia,55,Total,2291,"687,385","63,567","68,739",9.20%,10.00%
1983,Wisconsin,35,Priv. Construction,109,"68,746","29,182","30,110",42.40%,43.80%
1983,Wisconsin,35,Priv. Manufacturing,850,"546,595","197,032","212,942",36.00%,39.00%
1983,Wisconsin,35,Private,2561,"1,639,362","324,392","355,888",19.80%,21.70%
1983,Wisconsin,35,Public,505,"316,473","141,075","170,797",44.60%,54.00%
1983,Wisconsin,35,Total,3066,"1,955,834","465,467","526,686",23.80%,26.90%
1984,Wisconsin,35,Priv. Construction,113,"73,697","24,935","25,571",33.80%,34.70%
1984,Wisconsin,35,Priv. Manufacturing,807,"542,517","213,700","226,008",39.40%,41.70%
1984,Wisconsin,35,Private,2487,"1,672,424","343,880","367,125",20.60%,22.00%
1984,Wisconsin,35,Public,430,"291,269","139,972","165,754",48.10%,56.90%
1984,Wisconsin,35,Total,2917,"1,963,693","483,852","532,879",24.60%,27.10%
1985,Wisconsin,35,Priv. Construction,96,"71,378","22,117","22,117",31.00%,31.00%
1985,Wisconsin,35,Priv. Manufacturing,696,"510,484","186,525","192,467",36.50%,37.70%
1985,Wisconsin,35,Private,2251,"1,650,440","293,109","304,138",17.80%,18.40%
1985,Wisconsin,35,Public,411,"302,265","142,803","159,735",47.20%,52.80%
1985,Wisconsin,35,Total,2662,"1,952,705","435,912","463,872",22.30%,23.80%
1986,Wisconsin,35,Priv. Construction,98,"75,689","31,536","31,536",41.70%,41.70%
1986,Wisconsin,35,Priv. Manufacturing,680,"533,038","170,612","178,101",32.00%,33.40%
1986,Wisconsin,35,Private,2101,"1,626,488","288,202","302,016",17.70%,18.60%
1986,Wisconsin,35,Public,424,"324,548","155,504","168,738",47.90%,52.00%
1986,Wisconsin,35,Total,2525,"1,951,036","443,706","470,754",22.70%,24.10%
1987,Wisconsin,35,Priv. Construction,102,"79,549","27,256","28,042",34.30%,35.30%
1987,Wisconsin,35,Priv. Manufacturing,693,"536,137","179,214","182,387",33.40%,34.00%
1987,Wisconsin,35,Private,2219,"1,717,102","287,862","298,647",16.80%,17.40%
1987,Wisconsin,35,Public,413,"317,609","146,840","161,236",46.20%,50.80%
1987,Wisconsin,35,Total,2632,"2,034,711","434,702","459,883",21.40%,22.60%
1988,Wisconsin,35,Priv. Construction,111,"87,473","34,685","34,685",39.70%,39.70%
1988,Wisconsin,35,Priv. Manufacturing,748,"596,799","187,380","188,909",31.40%,31.70%
1988,Wisconsin,35,Private,2287,"1,815,250","303,683","308,598",16.70%,17.00%
1988,Wisconsin,35,Public,430,"336,434","164,098","180,092",48.80%,53.50%
1988,Wisconsin,35,Total,2717,"2,151,685","467,781","488,690",21.70%,22.70%
1989,Wisconsin,35,Priv. Construction,126,"101,068","35,925","37,442",35.50%,37.00%
1989,Wisconsin,35,Priv. Manufacturing,731,"578,514","167,438","169,095",28.90%,29.20%
1989,Wisconsin,35,Private,2333,"1,830,082","289,792","300,890",15.80%,16.40%
1989,Wisconsin,35,Public,453,"352,639","165,810","183,174",47.00%,51.90%
1989,Wisconsin,35,Total,2786,"2,182,721","455,601","484,064",20.90%,22.20%
1990,Wisconsin,35,Priv. Construction,113,"85,959","30,813","32,076",35.80%,37.30%
1990,Wisconsin,35,Priv. Manufacturing,692,"533,375","153,698","157,552",28.80%,29.50%
1990,Wisconsin,35,Private,2399,"1,833,144","274,810","288,715",15.00%,15.70%
1990,Wisconsin,35,Public,472,"357,111","173,012","181,923",48.40%,50.90%
1990,Wisconsin,35,Total,2871,"2,190,255","447,822","470,637",20.40%,21.50%
1991,Wisconsin,35,Priv. Construction,118,"91,069","34,193","35,616",37.50%,39.10%
1991,Wisconsin,35,Priv. Manufacturing,751,"574,347","165,558","168,097",28.80%,29.30%
1991,Wisconsin,35,Private,2358,"1,805,599","267,020","280,055",14.80%,15.50%
1991,Wisconsin,35,Public,487,"368,692","185,678","203,648",50.40%,55.20%
1991,Wisconsin,35,Total,2845,"2,174,291","452,698","483,704",20.80%,22.20%
1992,Wisconsin,35,Priv. Construction,144,"116,454","35,207","36,848",30.20%,31.60%
1992,Wisconsin,35,Priv. Manufacturing,746,"588,395","146,503","155,215",24.90%,26.40%
1992,Wisconsin,35,Private,2372,"1,876,605","262,910","279,747",14.00%,14.90%
1992,Wisconsin,35,Public,454,"342,106","176,800","191,904",51.70%,56.10%
1992,Wisconsin,35,Total,2826,"2,218,711","439,710","471,651",19.80%,21.30%
1993,Wisconsin,35,Priv. Construction,120,"98,101","27,898","27,898",28.40%,28.40%
1993,Wisconsin,35,Priv. Manufacturing,730,"587,193","160,590","167,082",27.30%,28.50%
1993,Wisconsin,35,Private,2404,"1,930,996","258,459","275,073",13.40%,14.20%
1993,Wisconsin,35,Public,460,"357,692","184,053","196,547",51.50%,54.90%
1993,Wisconsin,35,Total,2864,"2,288,687","442,512","471,620",19.30%,20.60%
1994,Wisconsin,35,Priv. Construction,121,"110,431","33,480","35,533",30.30%,32.20%
1994,Wisconsin,35,Priv. Manufacturing,673,"598,131","142,080","144,710",23.80%,24.20%
1994,Wisconsin,35,Private,2260,"1,997,162","247,803","259,311",12.40%,13.00%
1994,Wisconsin,35,Public,418,"354,063","182,788","196,393",51.60%,55.50%
1994,Wisconsin,35,Total,2678,"2,351,224","430,590","455,704",18.30%,19.40%
1995,Wisconsin,35,Priv. Construction,106,"98,780","23,193","23,193",23.50%,23.50%
1995,Wisconsin,35,Priv. Manufacturing,657,"608,667","129,796","133,558",21.30%,21.90%
1995,Wisconsin,35,Private,2216,"2,065,820","240,711","261,178",11.70%,12.60%
1995,Wisconsin,35,Public,395,"362,750","188,283","203,817",51.90%,56.20%
1995,Wisconsin,35,Total,2611,"2,428,570","428,994","464,995",17.70%,19.10%
1996,Wisconsin,35,Priv. Construction,114,"111,619","35,524","35,524",31.80%,31.80%
1996,Wisconsin,35,Priv. Manufacturing,624,"604,542","144,203","145,125",23.90%,24.00%
1996,Wisconsin,35,Private,2188,"2,121,339","270,764","282,234",12.80%,13.30%
1996,Wisconsin,35,Public,391,"370,390","198,888","210,979",53.70%,57.00%
1996,Wisconsin,35,Total,2579,"2,491,729","469,652","493,214",18.80%,19.80%
1997,Wisconsin,35,Priv. Construction,93,"94,023","30,775","30,775",32.70%,32.70%
1997,Wisconsin,35,Priv. Manufacturing,636,"634,435","135,479","142,381",21.40%,22.40%
1997,Wisconsin,35,Private,2148,"2,134,663","265,136","282,423",12.40%,13.20%
1997,Wisconsin,35,Public,369,"358,188","202,863","216,749",56.60%,60.50%
1997,Wisconsin,35,Total,2517,"2,492,851","467,999","499,173",18.80%,20.00%
1998,Wisconsin,35,Priv. Construction,111,"113,966","38,939","38,939",34.20%,34.20%
1998,Wisconsin,35,Priv. Manufacturing,621,"619,672","139,588","142,518",22.50%,23.00%
1998,Wisconsin,35,Private,2142,"2,146,310","266,952","274,030",12.40%,12.80%
1998,Wisconsin,35,Public,374,"366,711","203,001","217,667",55.40%,59.40%
1998,Wisconsin,35,Total,2516,"2,513,021","469,953","491,697",18.70%,19.60%
1999,Wisconsin,35,Priv. Construction,122,"125,042","40,210","41,284",32.20%,33.00%
1999,Wisconsin,35,Priv. Manufacturing,608,"617,626","116,384","120,310",18.80%,19.50%
1999,Wisconsin,35,Private,2093,"2,133,236","237,455","250,295",11.10%,11.70%
1999,Wisconsin,35,Public,369,"371,430","214,994","226,129",57.90%,60.90%
1999,Wisconsin,35,Total,2462,"2,504,666","452,449","476,424",18.10%,19.00%
2000,Wisconsin,35,Priv. Construction,112,"115,796","51,536","52,435",44.50%,45.30%
2000,Wisconsin,35,Priv. Manufacturing,629,"638,609","125,818","130,493",19.70%,20.40%
2000,Wisconsin,35,Private,2146,"2,192,326","257,263","271,551",11.70%,12.40%
2000,Wisconsin,35,Public,343,"340,652","188,716","201,581",55.40%,59.20%
2000,Wisconsin,35,Total,2489,"2,532,978","445,979","473,132",17.60%,18.70%
2001,Wisconsin,35,Priv. Construction,194,"156,788","40,283","42,366",25.70%,27.00%
2001,Wisconsin,35,Priv. Manufacturing,776,"602,405","119,550","126,073",19.80%,20.90%
2001,Wisconsin,35,Private,2861,"2,207,096","248,522","266,682",11.30%,12.10%
2001,Wisconsin,35,Public,432,"332,166","167,837","179,749",50.50%,54.10%
2001,Wisconsin,35,Total,3293,"2,539,262","416,359","446,431",16.40%,17.60%
2002,Wisconsin,35,Priv. Construction,203,"131,648","38,995","38,995",29.60%,29.60%
2002,Wisconsin,35,Priv. Manufacturing,899,"559,413","97,081","99,239",17.40%,17.70%
2002,Wisconsin,35,Private,3421,"2,144,524","211,778","222,442",9.90%,10.40%
2002,Wisconsin,35,Public,533,"329,956","173,454","182,991",52.60%,55.50%
2002,Wisconsin,35,Total,3954,"2,474,480","385,232","405,433",15.60%,16.40%
2003,Wisconsin,35,Priv. Construction,212,"138,598","39,057","40,411",28.20%,29.20%
2003,Wisconsin,35,Priv. Manufacturing,840,"539,900","90,843","93,974",16.80%,17.40%
2003,Wisconsin,35,Private,3489,"2,265,385","225,433","239,092",10.00%,10.60%
2003,Wisconsin,35,Public,539,"347,357","188,927","198,855",54.40%,57.20%
2003,Wisconsin,35,Total,4028,"2,612,743","414,360","437,948",15.90%,16.80%
2004,Wisconsin,35,Priv. Construction,196,"133,303","31,403","31,403",23.60%,23.60%
2004,Wisconsin,35,Priv. Manufacturing,828,"549,490","98,935","104,241",18.00%,19.00%
2004,Wisconsin,35,Private,3352,"2,253,102","235,209","246,987",10.40%,11.00%
2004,Wisconsin,35,Public,519,"343,907","179,118","192,150",52.10%,55.90%
2004,Wisconsin,35,Total,3871,"2,597,010","414,327","439,136",16.00%,16.90%
2005,Wisconsin,35,Priv. Construction,152,"117,639","29,332","30,618",24.90%,26.00%
2005,Wisconsin,35,Priv. Manufacturing,733,"507,981","95,845","98,603",18.90%,19.40%
2005,Wisconsin,35,Private,3131,"2,218,374","245,377","259,479",11.10%,11.70%
2005,Wisconsin,35,Public,469,"332,602","164,682","178,646",49.50%,53.70%
2005,Wisconsin,35,Total,3600,"2,550,975","410,060","438,125",16.10%,17.20%
2006,Wisconsin,35,Priv. Construction,144,"112,021","32,342","32,991",28.90%,29.50%
2006,Wisconsin,35,Priv. Manufacturing,680,"497,938","82,027","86,235",16.50%,17.30%
2006,Wisconsin,35,Private,3065,"2,245,470","202,717","217,832",9.00%,9.70%
2006,Wisconsin,35,Public,482,"341,186","182,809","197,366",53.60%,57.80%
2006,Wisconsin,35,Total,3547,"2,586,656","385,525","415,198",14.90%,16.10%
2007,Wisconsin,35,Priv. Construction,149,"113,014","31,832","32,601",28.20%,28.80%
2007,Wisconsin,35,Priv. Manufacturing,727,"533,779","77,762","79,175",14.60%,14.80%
2007,Wisconsin,35,Private,3074,"2,261,026","187,314","201,912",8.30%,8.90%
2007,Wisconsin,35,Public,510,"369,805","188,410","203,003",50.90%,54.90%
2007,Wisconsin,35,Total,3584,"2,630,831","375,724","404,915",14.30%,15.40%
2008,Wisconsin,35,Priv. Construction,142,"106,209","26,328","26,328",24.80%,24.80%
2008,Wisconsin,35,Priv. Manufacturing,700,"512,920","96,575","100,835",18.80%,19.70%
2008,Wisconsin,35,Private,3094,"2,273,625","220,234","237,503",9.70%,10.40%
2008,Wisconsin,35,Public,513,"368,570","175,660","184,481",47.70%,50.10%
2008,Wisconsin,35,Total,3607,"2,642,196","395,893","421,985",15.00%,16.00%
2009,Wisconsin,35,Priv. Construction,126,"93,625","22,557","23,358",24.10%,24.90%
2009,Wisconsin,35,Priv. Manufacturing,587,"422,495","73,505","75,408",17.40%,17.80%
2009,Wisconsin,35,Private,2953,"2,140,145","177,036","184,345",8.30%,8.60%
2009,Wisconsin,35,Public,554,"387,961","207,662","216,053",53.50%,55.70%
2009,Wisconsin,35,Total,3507,"2,528,107","384,698","400,398",15.20%,15.80%
2010,Wisconsin,35,Priv. Construction,138,"97,946","23,623","24,348",24.10%,24.90%
2010,Wisconsin,35,Priv. Manufacturing,606,"424,685","63,215","65,559",14.90%,15.40%
2010,Wisconsin,35,Private,2991,"2,131,282","179,517","192,873",8.40%,9.00%
2010,Wisconsin,35,Public,532,"376,605","175,366","186,939",46.60%,49.60%
2010,Wisconsin,35,Total,3523,"2,507,887","354,882","379,812",14.20%,15.10%
2011,Wisconsin,35,Priv. Construction,129,"92,452","23,437","24,793",25.40%,26.80%
2011,Wisconsin,35,Priv. Manufacturing,589,"415,986","63,270","65,636",15.20%,15.80%
2011,Wisconsin,35,Private,3033,"2,166,002","151,592","159,050",7.00%,7.30%
2011,Wisconsin,35,Public,525,"371,792","187,064","198,685",50.30%,53.40%
2011,Wisconsin,35,Total,3558,"2,537,794","338,656","357,734",13.30%,14.10%
2012,Wisconsin,35,Priv. Construction,108,"80,475","16,979","17,706",21.10%,22.00%
2012,Wisconsin,35,Priv. Manufacturing,645,"476,254","63,609","65,744",13.40%,13.80%
2012,Wisconsin,35,Private,3019,"2,235,535","153,752","161,920",6.90%,7.20%
2012,Wisconsin,35,Public,506,"371,983","139,050","149,839",37.40%,40.30%
2012,Wisconsin,35,Total,3525,"2,607,519","292,802","311,758",11.20%,12.00%
2013,Wisconsin,35,Priv. Construction,146,"106,352","28,386","29,036",26.70%,27.30%
2013,Wisconsin,35,Priv. Manufacturing,657,"474,685","72,666","74,704",15.30%,15.70%
2013,Wisconsin,35,Private,2965,"2,187,097","178,471","191,761",8.20%,8.80%
2013,Wisconsin,35,Public,530,"385,525","138,124","144,962",35.80%,37.60%
2013,Wisconsin,35,Total,3495,"2,572,622","316,596","336,723",12.30%,13.10%
2014,Wisconsin,35,Priv. Construction,150,"116,485","29,579","30,774",25.40%,26.40%
2014,Wisconsin,35,Priv. Manufacturing,679,"520,322","88,072","88,072",16.90%,16.90%
2014,Wisconsin,35,Private,2839,"2,227,589","182,373","192,452",8.20%,8.60%
2014,Wisconsin,35,Public,518,"398,333","123,239","134,530",30.90%,33.80%
2014,Wisconsin,35,Total,3357,"2,625,922","305,611","326,983",11.60%,12.50%
2015,Wisconsin,35,Priv. Construction,102,"99,577","18,854","18,854",18.90%,18.90%
2015,Wisconsin,35,Priv. Manufacturing,525,"507,696","61,769","62,360",12.20%,12.30%
2015,Wisconsin,35,Private,2340,"2,291,686","120,173","127,242",5.20%,5.60%
2015,Wisconsin,35,Public,410,"390,465","101,945","125,194",26.10%,32.10%
2015,Wisconsin,35,Total,2750,"2,682,151","222,118","252,437",8.30%,9.40%
2016,Wisconsin,35,Priv. Construction,114,"113,238","31,338","33,814",27.70%,29.90%
2016,Wisconsin,35,Priv. Manufacturing,466,"486,136","53,664","55,950",11.00%,11.50%
2016,Wisconsin,35,Private,2148,"2,292,106","126,847","137,322",5.50%,6.00%
2016,Wisconsin,35,Public,385,"402,618","91,386","106,055",22.70%,26.30%
2016,Wisconsin,35,Total,2533,"2,694,724","218,233","243,377",8.10%,9.00%
2017,Wisconsin,35,Priv. Construction,98,"111,489","32,145","32,145",28.80%,28.80%
2017,Wisconsin,35,Priv. Manufacturing,525,"589,639","69,731","74,171",11.80%,12.60%
2017,Wisconsin,35,Private,2149,"2,423,487","163,231","172,048",6.70%,7.10%
2017,Wisconsin,35,Public,330,"356,978","67,330","78,310",18.90%,21.90%
2017,Wisconsin,35,Total,2479,"2,780,465","230,561","250,358",8.30%,9.00%
2018,Wisconsin,35,Priv. Construction,104,"119,894","20,209","20,209",16.90%,16.90%
2018,Wisconsin,35,Priv. Manufacturing,469,"545,538","56,274","58,541",10.30%,10.70%
2018,Wisconsin,35,Private,2005,"2,331,270","129,232","133,481",5.50%,5.70%
2018,Wisconsin,35,Public,320,"366,577","89,358","99,844",24.40%,27.20%
2018,Wisconsin,35,Total,2325,"2,697,847","218,590","233,325",8.10%,8.60%
2019,Wisconsin,35,Priv. Construction,120,"141,591","24,633","25,459",17.40%,18.00%
2019,Wisconsin,35,Priv. Manufacturing,448,"530,194","52,701","56,042",9.90%,10.60%
2019,Wisconsin,35,Private,1928,"2,311,426","118,800","129,859",5.10%,5.60%
2019,Wisconsin,35,Public,326,"386,120","99,148","115,138",25.70%,29.80%
2019,Wisconsin,35,Total,2254,"2,697,546","217,948","244,996",8.10%,9.10%
2020,Wisconsin,35,Priv. Construction,90,"116,837","23,676","25,095",20.30%,21.50%
2020,Wisconsin,35,Priv. Manufacturing,410,"511,612","65,571","73,706",12.80%,14.40%
2020,Wisconsin,35,Private,1721,"2,217,836","143,398","161,557",6.50%,7.30%
2020,Wisconsin,35,Public,291,"379,240","83,679","103,175",22.10%,27.20%
2020,Wisconsin,35,Total,2012,"2,597,076","227,077","264,732",8.70%,10.20%
2021,Wisconsin,35,Priv. Construction,109,"143,011","27,108","28,469",19.00%,19.90%
2021,Wisconsin,35,Priv. Manufacturing,431,"562,645","56,215","67,590",10.00%,12.00%
2021,Wisconsin,35,Private,1738,"2,322,482","132,172","152,734",5.70%,6.60%
2021,Wisconsin,35,Public,291,"382,980","82,340","98,417",21.50%,25.70%
